flavor,size,product_description,ingredients,allergens,servings_per_containter,serving_size,calories_per_serving,calories_per_pint,total_fat_per_serving,total_fat_per_pint,total_fat_daily_value_per_serving,total_fat_daily_value_per_pint,saturated_fat_per_serving,saturated_fat_per_pint,saturated_fat_daily_value_per_serving,saturated_fat_daily_value_per_pint,trans_fat_per_serving,trans_fat_per_pint,trans_fat_daily_value_per_serving,trans_fat_daily_value_per_pint,cholesterol_per_serving,cholesterol_per_pint,cholesterol_daily_value_per_serving,cholesterol_daily_value_per_pint,sodium_per_serving,sodium_per_pint,sodium_daily_value_per_serving,sodium_daily_value_per_pint,total_carbohydrate_per_serving,total_carbohydrate_per_pint,carbohydrate_daily_value_per_serving,carbohydrate_daily_value_per_pint,dietary_fiber_per_serving,dietary_fiber_per_pint,dietary_fiber_daily_value_per_serving,dietary_fiber_daily_value_per_pint,total_sugars_per_serving,total_sugars_per_pint,includes_added_sugars_per_serving,includes_added_sugars_per_pint,daily_value_added_sugars_per_serving,daily_value_added_sugars_per_pint,protein_per_serving,protein_per_pint,protein_daily_value_per_serving,protein_daily_value_per_pint,vitamind_per_serving,vitamind_per_pint,vitamind_daily_value_per_serving,vitamind_daily_value_per_pint,calcium_per_serving,calcium_per_pint,calcium_daily_value_per_serving,calcium_daily_value_per_pint,iron_per_serving,iron_per_pint,iron_daily_value_per_serving,iron_daily_value_per_pint,potassium_per_serving,potassium_per_pint,potassium_daily_value_per_serving,potassium_daily_value_per_pint,vitamin_a,vitamin_a_daily_value_per_serving,category--Ice cream,category--Frozen Custard,category--Sherbert,category--Sorbet,category--Gelato,category--Churned,category--No Fat No Sugar,category--Reduced Fat,category--Gustafson's,category--Yogurt,category--Candy,category--Caramel,category--Chocolate,category--Cookies,category--Coffee,category--Fruit,category--Fudge,category--Mint,category--Nuts,category--Vanilla,allergy_icons--gluten-free,allergy_icons--peanut-free,allergy_icons--dairy-free,allergy_icons--nut-free
Amaretto Mackinac Island Fudge,three_gallon,Amaretto flavored ice cream with a thick Fudge Ribbon and Old Fashion Fudge pieces,"FUDGE SWIRL [S: NONFAT Milk, CREAM, BUTTERMilk, SUGARUGAR, Peanut OIL (REFINED), COCOA PROCESSED WITH ALKALI, WHEY, SALT, Soy LECITHIN (EMULSIFIER)], FUDGE PIECE [SUGAR, COCONUT OIL (REFINED), COCOA PROCESSED WITH ALKALI, Peanut OIL (REFINED), COCOA POWDER, NATURAL FLAVOR, Soy LECITHIN (EMULSIFIER)], CORN SYRUP, WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], FLAVOR [NATURAL AND ARTIFICIAL FLAVORS, CARAMEL COLOR, YELLOW 6 AND YELLOW 5 (COLOR)], COLOR [RED40, BLUE 1], SEA SALT.","Milk, Soy",72,2/3 (95g),240,,14g,,18%,,8g,,40%,,0g,,,,25mg,,0%,,85mg,,0%,,26g,,0%,,1g,,0%,,22g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,,,x,x,,,,,,,
After Dinner Mint,three_gallon,Chocolate & Mint Flakes in White Mint ice cream,"NONFAT Milk; CREAM, BUTTERMilk, SUGAR, MINT FLAKE [SUGAR, COCONUT OIL, BUTTERMilk POWDER, COCOA PROCESSED WITH ALKALI, PARTIALLY HYDROGENATED COCONUT OIL, COCOA POWDER, NATURAL FLAVOR, SALT, Soy LECITHIN (EMULSIFIER), YELLOW 5 AND BLUE 1 (COLOR)], CORN SYRUP, WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], NATURAL FLAVOR, SEA SALT.",Milk,72,2/3  cup (91g),210,,12g,,15%,,8g,,40%,,0g,,,,25mg,,0%,,160mg,,0%,,24g,,0%,,0g,,0%,,20g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,x,,,,,x,,,X,X,,
Banana ,three_gallon,Banana flavored ice cream,"NONFAT Milk, CREAM, BUTTERMilk, SUGAR, BANANA PUREE [CORN SYRUP, BANANA PUREE, WATER, HIGH FRUCTOSE CORN SYRUP, SUGAR, NATURAL FLAVORS, CELLULOSE GUM, CITRIC ACID], CORN SYRUP, WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], SEA SALT. ",Milk,72,2/3  cup (88g),180,,9g,,12%,,6g,,30%,,0g,,,,25mg,,0%,,60mg,,0%,,23g,,0%,,0g,,0%,,16g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,,,x,,,,,X,X,,
Big Muddy,three_gallon,Dark Chocolate ice cream swirled with a Caramel swirl and Brownie Pieces,"NONFAT Milk, CREAM, SUGAR, BROWNIE PIECE [SUGAR, WHEAT FLOUR, INTERESTERIFIED SoyBEAN OIL, LIQUID PASTEURIZED EGGS, COCOA PROCESSED WITH ALKALI, RICE SYRUP, WATER, CORN STARCH, Soy LECITHIN, SALT, NATURAL FLAVOR, BAKING SODA, BAKING POWDER (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORN STARCH, MONOCALCIUM PHOSPHATE)], CARAMEL SWIRL [CORN SYRUP, WATER, SWEETENED CONDENSED Milk (CONDENSED Milk, SUGAR), SUGAR, SWEETENED CONDENSED SKIM Milk (CONDENSED SKIM Milk, SUGAR), MODIFIED CORN STARCH, SODIUM ALGINATE, SALT, SODIUM BICARBONATE], CORN SYRUP, WHEY, COCOA PROCESSED WITH ALKALI,STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN]. ","Milk, WHEAT, Soy, EGGS.",72,2/3  cup (103g),250,,11g,,14%,,7g,,35%,,0g,,,,30mg,,0%,,90mg,,0%,,36g,,0%,,1g,,0%,,26g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,3mg,,0%,,,,x,,,,,,,,,,,x,x,,,,,,,,,X,,
Birthday Cake,three_gallon,Yellow cake flavored ice cream blended with cake pieces and sprinkled with multi-colored candy pieces,"NONFAT Milk, CREAM, BUTTERMilk, SUGAR, CAKE PIECES [SUGAR, WHEAT FLOUR, WATER, PALM OIL, SPRINKLES (SUGAR, CORN STARCH, PALM OIL, PALM KERNEL OIL, SUNFLOWER LECITHIN, DEXTRIN, CONFECTIONER'S GLAZE, COLORS {YELLOW 5 LAKE, RED 40 LAKE, YELLOW 6 LAKE, BLUE 1 LAKE, RED 3}, NATURAL AND ARTIFICIAL FLAVOR, CARNAUBA Wlv<., BLUE 1 {COLOR}), EGG WHITES, CORNN STARCH,NATURALAND ARTIFICIAL VANILLA, SALT, Soy LECITHIN {EMULSIFIER}, NATURAL FLAVOR], CORN SYRUP, SEQUINS [SUGAR, RICE FLOUR, VEGETABLE OIL (PALM KERNEL AND/OR PALM OIL), CORN STARCH, GUM ARABIC, CELLULOSE GUM, CONFECTIONER'S GLAZE, CARRAGEENAN, Soy LECITHIN (EMULSIFIER), COLORS (YELLOW 6, RED 40, YELLOW 5, BLUE 1, BLUE 2 LAKE), ARTIFICIAL FLAVOR], WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], NATURAL AND ARTIFICIAL FLAVOR, SEA SALT. ","Egg, Milk, Soy, Wheat.",72,2/3  cup (92g),200,,11g,,14%,,7g,,35%,,0g,,,,25mg,,0%,,70mg,,0%,,25g,,0%,,0g,,0%,,19g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,x,,,,,,,,,,,X,,
Black Cherry,three_gallon,Black Cherry flavored ice cream with Black Cherries,"NONFAT Milk, CREAM, BUTTERMilk, SUGAR, BLACK CHERRIES [CHERRIES, WATER, CORN SYRUP, SUGAR, LOCUST BEAN GUM, CARRAGEENAN, CITRIC ACID, ARTIFICIALAND NATURAL FLAVORS, RED 40, BLUE 1], CORN SYRUP, WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], FLAVOR AND COLORING [WATER, ARTIFICIAL FLAVOR, RED 40, BLUE 1, CITRIC ACID], CITRICACID, SEA SALT. ",Milk,72,2/3  cup (92g),180,,9g,,12%,,6g,,30%,,0g,,,,125mg,,0%,,65mg,,0%,,23g,,0%,,0g,,0%,,20g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,,x,,,,,,X,X,,
Black Walnut,three_gallon,Black Walnut flavored ice cream with Black Walnuts,"NONFAT Milk, CREAM, BUTTERMilk, SUGAR, CORN SYRUP, BLACK WALNUTS, WHEY, STABILIZER [MONO AND DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], FLAVOR [CORN SYRUP, CARAMEL COLOR, NATURAL AND ARTIFICIAL FLAVOR), CARAMEL COLOR, SEA SALT.","Milk, TREE NUTS (WALNUTS).",72,2/3  cup (87g),190,,12g,,15%,,6g,,30%,,0g,,,,25mg,,0%,,65mg,,0%,,19g,,0%,,0g,,0%,,16g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,,,,,,x,,X,,,
Blueberry Wafflecone,three_gallon,Chocolate covered Waffle Cone pieces blended in Blueberry ice cream with a Blueberryberry Swirl,"NONFAT Milk, CREAM, BUTTERMilk, SUGAR, BLUEBERRY SWRIL [BLUEBERRIES, SUGAR, WATER, MODIFIED CORN STARCH, NATURAL FLAVOR], CONE PIECES [SUGAR, DRUMSTICK BISQUE (BLEACHED WHEAT FLOUR, SUGAR, CONTAINS 2% OR LESS OF VEGETABLE SHORTENING {SoyBEAN OIL, PALM OIL, Soy LECITHIN}, SALT, CARAMEL COLOR, ARTIFICIAL FLAVOR), COCONUT OIL, CHOCOLATE LIQUOR, BUTTERMilk POWDER, SKIM Milk POWDER, SALT, NATURAL FLAVOR], WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], FRUIT FLAVORS [WATER, CONCENTRATED FRUIT JUICE (BLUEBERRY, APPLE AND ELDERBERRY), SUGAR,
NATURAL FLAVOR, CITRIC ACID], SEA SALT.","Milk, Soy, Wheat.",72,2/3  cup (95g),210,,11g,,14%,,8g,,40%,,0g,,,,25mg,,0%,,75mg,,0%,,26g,,0%,,0g,,0%,,22g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,,,x,,,,,,X,,
Blue Moon,three_gallon,Blue ice cream with an almond flavor,"NONFAT Milk, CREAM, BUTTERMilk, SUGAR, CORN SYRUP, WHEY, NATURAL AND ARTIFICIAL FLAVORS, BLUE 1 (COLOR), STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], SEA SALT. ",Milk,72,2/3  cup (87g),180,,10g,,13%,,7g,,35%,,0g,,,,25mg,,0%,,65mg,,0%,,20g,,0%,,0g,,0%,,16g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,,,x,,,,,X,X,,
Bubble Gum,three_gallon,Pieces of Bubble Gum in Pink Bubble Gum flavored ice cream,"NONFAT Milk, CREAM, BUTTERMilk, SUGAR, MINI GUM PIECES [SUGAR, DEXTROSE, GUM BASE, CORN SYRUP, MALTODEXTRIN, NATURAL AND ARTIFICIAL FLAVORS, RESINOUS GLAZE, Soy LECITHIN, BLUE 1, RED 3AND 40, YELLOW 5 AND 6 (COLOR), BEESWAX AND CARNAUBA WAX, BHT (TO MAINTAIN FRESHNESS)], CORN SYRUP, WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], NATURALAND ARTIFICIAL FLAVOR, RED 40 (COLOR), BLUE 1 (COLOR), SEA SALT.","Milk, Soy",72,2/3  cup (90g),190,,9g,,12%,,6g,,30%,,0g,,,,25mg,,0%,,65mg,,0%,,24g,,0%,,0g,,0%,,20g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,x,,,,,,,,,,X,X,,
Butter Brittle,three_gallon,Toffee Candy pieces in Vanilla ice cream,"NONFAT Milk, CREAM, BUTTERMilk, SUGAR, CORN SYRUP, BUTTER TOFFEE [SUGAR, CORN SYRUP, COCONUT OIL, BUTTER (CREAM, SALT), WATER, BROWN SUGAR, ALMONDS, SALT, SUNFLOWER LECITHIN (EMULSIFIER), NATURAL FLAVOR], WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], VANILLA EXTRACT, ARTIFICIAL FLAVOR, ANNATTO EXTRACT (COLOR), SEA SALT.","Milk, Tree Nuts.",72,2/3  cup (89g),190,,10g,,13%,,7g,,35%,,0g,,,,25mg,,0%,,85mg,,0%,,22g,,0%,,0g,,0%,,18g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,x,,,,,,,,,x,X,,,
Butter Pecan,three_gallon,Butter Pecan flavored ice cream blended with pecans,"NONFAT Milk, CREAM, BUTTERMilk, SUGAR, CORN SYRUP, PECANS [PECANS, COTTONSEED OIL, BUTTER (CREAM, NATURAL FLAVORING), SALT], WHEY, BUTTER PECAN FLAVOR [NATURAL FLAVOR, WATER, SALT, Soy SAUCE, SUGAR], STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], VANILLA EXTRACT, ARTIFICIAL FLAVOR, ANNATTO EXTRACT (COLOR), SEA SALT. ","Milk, Pecan, Soy",72,2/3  cup (88g),210,,14g,,18%,,7g,,35%,,0g,,,,25mg,,0%,,110mg,,0%,,19g,,0%,,1g,,0%,,16g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,,,,,,x,,X,,,
Caramel Collision,three_gallon,Caramel ice cream with a caramel swirl and Chocolate coated Caramel mini cups,"NONFAT Milk, CREAM, BUTTERMilk, SUGAR, DULCE DE LECHE SWIRL [SUGAR, CONDENSED SKIM Milk, HIGH FRUCTOSE CORN SY.RUP, WATER, BUTTER (CREAM, SALT), COCONUT OIL, CORN SYRUP, SALT, NATURAL AND ARTIFICIAL FLAVORING, PECTIN], CORN SYRUP, Milk CHOCOLATE CARAMEL CUPS [SUGAR, COCONUT OIL, CORN SYRUP, SWEETENED CONDENSED WHOLE Milk (Milk, SUGAR), NONFAT Milk, Milk, COCOA PROCESSED WITH ALKALI, HEAW CREAM, BUTTER (CREAM, SALT), PALM KERNEL OIL, Soy LECITHIN (EMULSIFIER), NATURALAND ARTIFICIAL FLAVORS, SALT), CARAMEL BASE [CORN SYRUP, SUGAR,WATER,BUTTER(CREAM, SALT), CONDENSED SKIM Milk, CARAMELCOLOR,ANNATTO COLOR, NATURAL AND ARTIFICIAL FLAVORING, CARRAGEENAN], WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN), SEA SALT. ","Milk, Soy",72,2/3  cup (96g),230,,12g,,15%,,8g,,40%,,0g,,,,30mg,,0%,,105mg,,0%,,29g,,0%,,0g,,0%,,23g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,x,x,x,,,,,,,,X,X,,
Candy Bar,three_gallon,"Candy Bar nouget flavored ice cream with fudge covered Peanuts, a Caramel ribbon and Snicker Bar pieces","NONFAT Milk, BUTTERMilk, CREAM, SUGAR, Peanut NOUGAT BASE [WATER, Peanut BUTTER (PeanutS, SUGAR, Peanut OIL, SALT), CORN SYRUP, SUGAR, HIGH FRUCTOSE CORN SYRUP, MODIFIED TAPIOCA STARCH, COCOA, SALT, DRY MALT EXTRACT, MONO AND DIGLYCERIDES, NATURAL FLAVOR], DULCE DE LECHE SWIRL [SUGAR, CONDENSED SKIM Milk, HIGH FRUCTOSE CORN SYRUP, WATER, BUTTER (CREAM, SALT), COCONUT OIL, CORN SYRUP, SALT, NATURAL AND ARTIFICIAL FLAVORING, PECTIN], SNICKERS CANDY BAR [Milk CHOCOLATE (SUGAR, COCOA BUTTER, CHOCOLATE, SKIM Milk, LACTOSE, Milk FAT, Soy LECITHIN, ARTIFICIAL FLAVOR), PeanutS, CORN SYRUP, SUGAR, PALM OIL, SKIM Milk, LACTOSE, SALT, EGG WHITES, ARTIFICIAL FLAVOR], CORN SYRUP, CHOCOLATE FUDGE PeanutS [CONFECTIONERY COATING (SUGAR, COCONUT OIL, ALKALIZED COCOA, NATURAL COCOA, MilkFAT, Soy LECITHIN {EMULSIFIER}, NATURAL FLAVORS), PeanutS (OIL ROASTED PENUTS, SALT, Peanut OIL), SALT], WHEY, STABILIZER [GUAR GUM, MONO & DIGLYCERIDE$, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], SEA SALT",,72,2/3  cup (98g),240,,12g,,15%,,7g,,35%,,0g,,,,25mg,,0%,,170mg,,0%,,31g,,0%,,1g,,0%,,24g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,x,x,x,,,,x,,,,X,,,
Chocolate ,three_gallon,Chocolate ice cream,"NONFAT Milk' BUTTERMilk, CREAM, SUGAR, CORN SYRUP, COCOA PROCESSED WITH ALKALI' WHEY STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM POLYSORBATE 80, CARRAGEENAN], SEA SALT. ",Milk,72,2/3  cup (88g),180,,10g,,13%,,6g,,30%,,0g,,,,25mg,,0%,,65mg,,0%,,21g,,0%,,1g,,0%,,17g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,3mg,,0%,,,,x,,,,,,,,,,,,x,,,,,,,,X,X,,
Chocolate Chip,three_gallon,Chocolate Chips in Vanilla ice cream,"NONFAT Milk, CREAM, BUTTERMilk, SUGAR, DARK CHOCOLATE FLAVORED CHUNKS [SUGAR, COCONUT OIL, COCOA PROCESSED WITH ALKALI, COCOA POWDER, MilkFAT, Soy LECITHIN (EMULSIFIER), VANILLA EXTRACT, NATURAL FLAVOR], CORN SYRUP, WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], VANILLA EXTRACT, ARTIFICIAL FLAVOR, SEA SALT.","Milk, Soy",72,2/3  cup (90g),200,,11g,,14%,,89g,,40%,,0g,,,,25mg,,0%,,65mg,,0%,,23g,,0%,,1g,,0%,,19g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,x,,,,,,,x,X,X,,
Chocolate Chip Cookie Dough,three_gallon,Cookie dough pieces and Chocolate Chips blended in Cookie Dough flavored ice cream,"NONFAT Milk, CREAM, BUTTERMilk, SUGAR, CHOCOLATE CHIP COOKIE DOUGH [WHEAT FLOUR, SUGAR, BROWN SUGAR, BUTTER, WATER, SoyBEAN OIL, CHOCOLATE CHIPS (SUGAR, CHOCOLATE LIQUOR, COCOA BUTTER, Soy LECITHIN
{EMULSIFIER}, VANILLA EXTRACT),), CORN STARCH, MOLASSES, SALT, NATURAL FLAVOR, Soy LECITHIN, BAKING SODA], CORN SYRUP, WHEY, DARK CHOCOLATE FLAVORED CHUNK [SUGAR, COCONUT OIL, COCOA PROCESSED WITH ALKALI,
COCOA POWDER, MilkFAT, Soy LECITHIN (EMULSIFIER), VANILLA EXTRACT, NATURAL FLAVOR], COOKIE DOUGH FLAVOR [SUGAR, HIGH FRUCTOSE CORN SYRUP, WATER, CORN SYRUP, SALT, NATURAL FLAVOR, MOLASSES, CARAMEL COLOR], STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], ANNATTO EXTRACT (COLOR), SEA SALT. ","Milk, Wheat, Soy",72,2/3  cup (94g),210,,11g,,14%,,7g,,35%,,0g,,,,25mg,,0%,,90mg,,0%,,27g,,0%,,0g,,0%,,21g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,x,,x,,,,,,,,,X,,
Chocolate Peanut Butter Ecstacy,three_gallon,Chocolate ice cream with Peanut Butter and Thick Fudge swirls and Peanut Butter Cups,"NONFAT Milk, BUTTERMilk, CREAM, SUGAR, FUDGE FLAVORED SWIRL [SUGAR, Peanut OIL, COCOA PROCESSED WITH ALKALI, WHEY POWDER, SALT, Soy LECITHIN (EMULSIFIER)], Peanut BUTTER SWIRL [PeanutS, SUGAR, Peanut OIL, SALT], Peanut BUTTER CUPS [Milk CHOCOLATE (SUGAR, COCOA BUTTER, CHOCOLATE LIQUOR, Milk, Soy LECITHIN {EMULSIFIER}, VANILLA EXTRACT), Peanut BUTTER, SUGAR, PALM KERNEL OIL, LACTOSE, SALT, Soy LECITHIN (EMULSIFIER)], CORN SYRUP, COCOA PROCESSED WITH ALKALI, WHEY, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], SEA SALT. ","Milk, Soy, Peanuts",72,2/3  cup (98g),290,,18g,,23%,,89g,,40%,,0g,,,,20mg,,0%,,150mg,,0%,,29g,,0%,,2g,,0%,,23g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,3mg,,0%,,,,x,,,,,,,,,,,,x,,,,x,,,,X,,,
Chocolate Peanut Butter Swirl,three_gallon,Chocolate ice cream with a Peanut Butter swirl,"NONFAT Milk, BUTTERMilk, CREAM, SUGAR, Peanut BUTTER SWIRL [PeanutS, COTTONSEED AND/OR Peanut OIL, HIGH FRUCTOSE CORN SYRUP, SALT], CORN SYRUP, COCOA PROCESSED WITH ALKALI, WHEY, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE
80, CARRAGEENAN], SEA SALT. ","Milk, Peanuts",72,2/3  cup (94g),250,,15g,,19%,,7g,,35%,,0g,,,,25mg,,0%,,140mg,,0%,,22g,,0%,,2g,,0%,,17g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,3mg,,0%,,,,x,,,,,,,,,,,,x,,,,,,,,X,,,
Coconut,three_gallon,Coconut flavored ice cream with Coconut shreds,"NONFAT Milk, CREAM, BUTTERMilk, SUGAR, CORN SYRUP, SHREDDED COCONUT [DESICCATED COCONUT, SUGAR, WATER, SALT], WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], ARTIFICIAL FLAVOR, SEA SALT.","Milk, Treenut (Coconut)",72,2/3  cup (89g),190,,11g,,14%,,7g,,35%,,0g,,,,25mg,,0%,,70mg,,0%,,22g,,0%,,1g,,0%,,17g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,,,,,,,,X,X,,
Coconut Explosion,three_gallon,"Coconut flavored ice cream with Chocolate Covered Coconut pieces, Coconut Flakes, and Chocolate Covered Almonds","NONFAT Milk, CREAM, BUTTERMilk, SUGAR, CORN SYRUP, DARK CHOCOLATE ALMONDS [ALMONDS, DARK CHOCOLATE (CHOCOLATE LIQUOR, SUGAR, COCOA BUTTER, Soy LECITHIN {EMULSIFIER}, VANILLA), COTTONSEED OIL], SHREDDED COCONUT [DESICCATED COCONUT, SUGAR, WATER, SALT], COATED COCONUT PIECES [SUGAR, COCONUT, COCONUT OIL, COCOA POWDER, DEXTROSE, SALT, COCOA PROCESSED WITH ALKALI, Soy LECITHIN (EMULSIFIER)], WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], ARTIFICIAL FLAVOR, SEA SALT.","Milk, Treenuts, Soy",72,2/3  cup (91g),220,,13g,,17%,,8g,,40%,,0g,,,,25mg,,0%,,70mg,,0%,,23g,,0%,,1g,,0%,,18g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,x,,,,,,x,,X,,,
Cookie Monster,three_gallon,Cookie Dough pieces and Chocolate Sandwich cookie pieces blended in Cookie Dough flavored ice cream,"NONFAT Milk, CREAM, BUTTERMilk, SUGAR, CHOCOLATE SANDWICH COOKIE [SUGAR, ENRICHED FLOUR, (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), SoyBEAN AND PALM OIL WITH TBHQ (FOR FRESHNESS), COCOA PROCESSED WITH ALKALI, INVERT SUGAR, CONTAINS 2% OR LESS OF DEGERMINATED YELLOW CORN FLOUR, CORNSTARCH, CHOCOLATE, SALT, LEAVENING (BAKING SODA, MONOCALCIUM PHOSPHATE), ARTIFICIAL FLAVOR, Soy LECITHIN, WHEY], CORN SYRUP, CHOCOLATE CHIP COOKIE DOUGH [WHEAT FLOUR, SUGAR, BROWN SUGAR, BUTTER, WATER, Soy OIL, CHOCOLATE CHIPS (SUGAR, CHOCOLATE LIQUOR, COCOA BUTTER, Soy LECITHIN {EMULSIFIER}, VANILLA EXTRACT), CORN STARCH, MOLASSES, SALT, NATURAL FLAVOR, Soy LECITHIN, BAKING SODA], WHEY, COOKIE DOUGH FLAVOR [SUGAR, HIGH FRUCTOSE CORN SYRUP, WATER, CORN SYRUP, SALT, NATURAL FLAVOR, MOLASSES, CARAMEL COLOR], STABILIZER (MONO- & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], SEA SALT. ","Milk, Soy, Wheat",72,2/3  cup (93g),210,,11g,,14%,,7g,,35%,,0g,,,,25mg,,0%,,100mg,,0%,,27g,,0%,,0g,,0%,,20g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,x,,x,x,,,,,,,,X,,
